Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
High,High,,,,,ADNC,,ADSP,,string,clinical
Intermediate,Intermediate,,,,,ADNC,,ADSP,,string,clinical
Low,Low,,,,,ADNC,,ADSP,,string,clinical
missing or unknown,ADNC severity score is missing or unknown,,,,,ADNC,,CLEAR-AD,,string,clinical
Not AD,Not AD,,,,,ADNC,,ADSP,,string,clinical
days,"Age measured in days, a period of 24 hours.",,,,,ageAssessmentUnits,,http://purl.obolibrary.org/obo/NCIT_C25301,,string,experimentalData
gestational weeks,"Gestational age (written with both weeks and days, e.g. 39 weeks and 0 days) is calculated using the best obstetrical estimated due date (EDD) based on the following formula: Gestational Age = (280 - (EDD - Reference Date))/ 7. Note: Reference Date is the date on which you are trying to determine gestational age.",,,,,ageAssessmentUnits,,http://purl.obolibrary.org/obo/NCIT_C81253,,string,experimentalData
months,Age measured in calendar months (approximately 30 days or 4 weeks).,,,,,ageAssessmentUnits,,http://purl.obolibrary.org/obo/NCIT_C29846,,string,experimentalData
PCW,Post-Conception Weeks,,,,,ageAssessmentUnits,,https://embryology.med.unsw.edu.au/embryology/index.php/Timeline_human_development,,string,experimentalData
weeks,"Age measured in weeks, a period of 7 consecutive days.",,,,,ageAssessmentUnits,,http://purl.obolibrary.org/obo/NCIT_C29844,,string,experimentalData
years,Age measured in years (approximately 365 days).,,,,,ageAssessmentUnits,,http://purl.obolibrary.org/obo/NCIT_C29848,,string,experimentalData
days,"Age measured in days, a period of 24 hours.",,,,,ageDeathUnits,,http://purl.obolibrary.org/obo/NCIT_C25301,,string,demographics
gestational weeks,"Gestational age (written with both weeks and days, e.g. 39 weeks and 0 days) is calculated using the best obstetrical estimated due date (EDD) based on the following formula: Gestational Age = (280 - (EDD - Reference Date))/ 7. Note: Reference Date is the date on which you are trying to determine gestational age.",,,,,ageDeathUnits,,http://purl.obolibrary.org/obo/NCIT_C81253,,string,demographics
months,Age measured in calendar months (approximately 30 days or 4 weeks).,,,,,ageDeathUnits,,http://purl.obolibrary.org/obo/NCIT_C29846,,string,demographics
PCW,Post-Conception Weeks,,,,,ageDeathUnits,,https://embryology.med.unsw.edu.au/embryology/index.php/Timeline_human_development,,string,demographics
weeks,"Age measured in weeks, a period of 7 consecutive days.",,,,,ageDeathUnits,,http://purl.obolibrary.org/obo/NCIT_C29844,,string,demographics
years,Age measured in years (approximately 365 days).,,,,,ageDeathUnits,,http://purl.obolibrary.org/obo/NCIT_C29848,,string,demographics
Absence,Normal neuronal population or Focal/Patchy neuronal loss in all sectors of Ammon's horn or Sommer' s sector,,,,,alt_HS_S,,DiverseCohorts,,string,clinical 
missing or unknown, alt_HS_S is missing or unknown,,,,,alt_HS_S,,DiverseCohorts,,string,clinical
Presence,Marked/Severe/Extensive/Moderate neuronal loss in all sectors of Ammon's horn or Sommer' s sector,,,,,alt_HS_S,,DiverseCohorts,,string,clinical 
Amygdala only,Amygdala only,,,,,alt_LEWY_full,,DiverseCohorts,,string,clinical
Brainstem predominant,Brainstem predominant,,,,,alt_LEWY_full,,DiverseCohorts,,string,clinical
Limbic transitional,Limbic transitional,,,,,alt_LEWY_full,,DiverseCohorts,,string,clinical
missing or unknown,alt_LEWY_full is missing or unknown,,,,,alt_LEWY_full,,DiverseCohorts,,string,clinical
