Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module,IsTemplate
assay_nanostring_metadata_template,SysBio nanostring metadata template schema,,"Component, specimenID, assay, platform, RIN, rnaBatch, libraryBatch, nanostringBatch, libraryPrep, libraryPreparationMethod, geneRLF, bindingDensity",,False,ManifestTemplate,,sysbio.metadataTemplates-assay.nanostring,,,template,True
specimenID,Identifying string linked to a particular sample or specimen,,,,False,ManifestColumn,,sage.annotations-experimentalData.specimenID-0.0.2,,string,biospecimen,
assay,The technology used to generate the data in this file,"mRNAcounts, microRNAcounts",,,True,ManifestColumn,,sage.annotations-experimentalData.assay-0.0.26,,string,experimentalData,
microRNAcounts,A microRNA profiling assay using digital molecular barcoding technology to quantify target microRNA molecules without the need for amplification.,,,,,assay,,source: http://purl.obolibrary.org/obo/OBI_0002142,,string,experimentalData,
mRNAcounts,A mRNA profiling assay using digital molecular barcoding technology to quantify target mRNA molecules without the need for amplification.,,,,,assay,,Sage Bionetworks,,string,experimentalData,
platform,"The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment.","NanostringnCounter, NanostringnCounter_MouseADPanel",,,True,ManifestColumn,,sage.annotations-experimentalData.platform-0.0.26,,string,experimentalData,
NanostringnCounter,Nanostring nCounter,,,,,platform,,Sage Bionetworks,,string,experimentalData,
NanostringnCounter_MouseADPanel,770 standardized genes covering 30 clinically derived AD-associated modules discovered in the AMP-AD consortium study of human brain tissue.,,,,,platform,,https://www.nanostring.com/products/gene-expression-panels/gene-expression-panels-overview/ncounter-ad-panels,,string,experimentalData,
RIN,RNA Integrity Number,,,,False,ManifestColumn,,sage.annotations-qc.RIN-0.0.2,,number,sequencing,
libraryPrep,The general strategy by which the library was prepared,"amplicon, cellHashing, Chromium Single Cell 3', DNALibraryConstruction, EndItDNAEndRepairKit, KapaHyperPrep, lncRNAenrichment, methylSeq, miRNAenrichment, multiome, MULTIseq, PCRfree, polyAselection, proximity ligation, rRNAdepletion, snIsoSeq, SPLITseq, STARRSeq, SureCell, totalRNA",,,True,ManifestColumn,,sage.annotations-ngs.libraryPrep-0.0.13,,string,sequencing,
amplicon,A region amplified by a PCR reaction,,,,,libraryPrep,,http://purl.obolibrary.org/obo/SO_0000006,,string,sequencing,
cellHashing,"Cell Hashing uses oligo-tagged antibodies against highly expressed surface proteins to place a 'sample barcode' on each single cell, enabling different samples to be multiplexed together and run in a single experiment",,,,,libraryPrep,,https://cite-seq.com/cell-hashing/,,string,sequencing,
Chromium Single Cell 3',"10x 3' v3 is the third version of the 10x sequencing technology that sequences from the 3' end of nucleic acid molecules. In the 3' assay, the polyd(T) sequence is part of the gel bead oligo (which also contains the 10x barcode, UMI, and partial Illuma Read 1 sequence), with the template switch oligo (TSO) supplied in the RT Primer.",,,,,libraryPrep,,https://www.ebi.ac.uk/ols/ontologies/pcl/individuals?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FPCL_0016452,,string,sequencing,
DNALibraryConstruction,A DNA library constructed from DNA extracted from cells,,,,,libraryPrep,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?short_form=EFO_0010172,,string,sequencing,
EndItDNAEndRepairKit,End-It DNA End-Repair Kit,,,,,libraryPrep,,https://www.lucigen.com/End-It-DNA-End-Repair-Kit/,,string,sequencing,
KapaHyperPrep,Kapa HyperPrep Kit,,,,,libraryPrep,,https://sequencing.roche.com/en/products-solutions/products/sample-preparation/dna-reagents/library-preparation/kapa-hyperprep.html,,string,sequencing,
lncRNAenrichment,RNA library enriched for lncRNA,,,,,libraryPrep,,Sage Bionetworks,,string,sequencing,
methylSeq,An assay that uses methyl-sensitive enzymes to identify methylation patterns,,,,,libraryPrep,,http://www.ebi.ac.uk/efo/EFO_0008804,,string,sequencing,
miRNAenrichment,RNA library with size selection for microRNAs,,,,,libraryPrep,,Sage Bionetworks,,string,sequencing,
multiome,10x Chromium Single Cell Multiome ATAC + Gene Expression workflow to simultaneously profile gene expression and open chromatin from the same cell.,,,,,libraryPrep,,http://www.ebi.ac.uk/efo/EFO_0030059,,string,sequencing,
MULTIseq,MULTI-seq is a method that uses lipid tagged barcode oligos to label cells prior to processing using 10x Genomics,,,,,libraryPrep,,https://www.nature.com/articles/s41592-019-0433-8+,,string,sequencing,
PCRfree,Library preparation without PCR amplification,,,,,libraryPrep,,Sage Bionetworks,,string,sequencing,
polyAselection,RNA selection by polyA tail capture,,,,,libraryPrep,,Sage Bionetworks,,string,sequencing,
proximity ligation,"Proximity ligation technologies are based on the ability to crosslink two genomic loci that are in close physical proximity to each other in the nuclear space. The crosslinked chromatin is then subjected to restriction enzyme digestion, which fragments the genomic DNA. The digested chromatin is re-ligated so that regions that are crosslinked together (intra-molecular re-ligation) are attached to each other. This process produces libraries of chimeric DNA products, including adjacent restriction fragments, which are normally found at different positions along the local genome.",,,,,libraryPrep,,https://journals.biologists.com/dev/article/144/20/3646/48125/The-three-dimensional-genome-regulating-gene,,string,sequencing,
rRNAdepletion,Total RNA library with ribosomal RNA depleted.,,,,,libraryPrep,,Sage Bionetworks,,string,sequencing,
snIsoSeq,Long-read single-nuclei full-length isoform sequencing,,,,,libraryPrep,,Sage Bionetworks,,string,sequencing,
