Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
minimum_file_annotation_template,Minimum set of file annotations that apply to all AD Portal files,NA,NA,NA,FALSE,DataType,NA,sysbio.metadataTemplates-ad.manifest,NA
Filename,Name of the file,NA,NA,NA,TRUE,DataProperty,NA,NA,NA
study,AD Portal study name,AMP-AD_DiverseCohorts,NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-neuro.study-0.0.40,NA
consortium,The name of the consortium,AMP-AD,NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-sageCommunity.consortium-0.0.4,NA
grant,"Grant number including activity code, institute code, and serial number (e.g. U01MH103392)",NA,NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-PsychENCODESpecific.grant-0.0.2,NA
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","7z, ab1, abf, avi, bai, bam, bash script, bcf, bed, bed broadPeak, bed gappedPeak, bed narrowPeak, bedgraph, bgzip, bigwig, bim, bpm, cel, chp, csv, czi, dat, DICOM, doc, dup, excel, fam, fasta, fastq, fig, flagstat, gct, gff3, gtf, gzip, hdf, hic, html, hyperlink, idat, idx, jpg, json, locs, maf, md, mov, msf, mtx, pdf, pdresult, pdstudy, pdview, plink, png, powerpoint, Python script, pzfx, R script, raw, RCC, RLF, RData, recal, rmd, sam, sav, sdf, seg, Sentrix descriptor file, sf3, sif, sqlite, sra, svg, svs, Synapse Table, tagAlign, tar, tif, tranches, tsv, txt, vcf, wiggle, xml, zip",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-sageCommunity.fileFormat-0.0.5,NA
assay,The technology used to generate the data in this file,"16SrRNAseq, ATACSeq,  Baker Lipidomics, Biocrates Bile Acids, Biocrates p180, Biocrates Q500, bisulfiteSeq, ChIPSeq, CITESeq, electrochemiluminescence, ELISA, exomeSeq, FIA-MSMS, HI-C, HiChIPseq, HPLC-MSMS, immunofluorescence, immunohistochemistry, label free mass spectrometry,  LC-MS, LC-MSMS, LC-SRM, LTP, MDMS-SL, Metabolon, methylationArray, MRI, mRNAcounts, Nightingale NMR, NOMe-Seq, Positron Emission Tomography, proximity extension assay, questionnaire, rnaArray, rnaSeq,  sandwich ELISA,  scrnaSeq, scwholeGenomeSeq, SiMoA, snpArray, snrnaSeq, STARRSeq, TMT quantitation, UPLC-MSMS, UPLC-ESI-QTOF-MS, wholeGenomeSeq",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.assay-0.0.18,NA
resourceType,The type of resource being stored and annotated,"analysis, curatedData, experimentalData, metadata, report, tool",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-sageCommunity.resourceType-0.0.5,NA
experimentalData,NA,NA,"isMultispecimen, dataType, dataSubtype, assay",NA,FALSE,DataProperty,NA,NA,NA
species,The name of a species (typically a taxonomic group) of organism.,"Human, Mouse, Rat, Drosophila melanogaster, Rhesus macaque, Pan troglodytes, Gallus gallus, Sus scrofa",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.species-0.0.2,NA
isMultispecimen,NA,"true - isMultispecimen, false - isMultispecimen",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.isMultiSpecimen-0.0.2,NA
false - isMultispecimen,NA,NA,"individualID, specimenID",NA,FALSE,DataProperty,NA,NA,NA
true - isMultispecimen,NA,NA,specimenIDMappingFile,NA,FALSE,DataProperty,NA,NA,NA
specimenID,Identifying string linked to a particular sample or specimen,NA,NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.specimenID-0.0.2,NA
individualID,Identifying string linked to the individual or animal being studied,NA,NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.individualID-0.0.2,NA
dataType,Types of input/output data in bioinformatics pipelines,"genomicVariants, metabolomics, image, geneExpression, proteomics, clinical, immunoassay, electrophysiology, metagenomics, epigenetics, pharmacology",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.dataType-0.0.3,NA
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","normalized, raw, processed, metadata",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.dataSubtype-0.0.2,NA
isModelSystem,NA,false - isModelSystem,NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-neuro.isModelSystem-0.0.2,NA
specimenIDMappingFile,Synapse entity id of the mapping file that indicates which specimenIDs appear in a multispecimen data file.,NA,NA,NA,TRUE,DataProperty,NA,NA,NA
Diverse_Cohorts_Clinical_Metadata,Diverse Cohorts clinical metadata template,NA,"individualID, dataContributionGroup, cohort, sex, race, isHispanic, ageDeath, PMI, apoeGenotype, amyThal, amyA, amyCerad, amyAny, Braak, bScore",NA,TRUE,DataType,NA,https://docs.google.com/document/d/1vIxMZ8qJ7E7t8Pockbwy3vQ9sPT4k_GGlpQCsrpVoEY/edit#heading=h.agzpcnpjw4d9,NA
dataContributionGroup,The identifier assigned to a data contributor,"Rush, MSSM, Mayo, Columbia, Emory",NA,NA,TRUE,DataProperty,NA,NA,NA
cohort,"The research cohort or study group population that an individual belongs to. If the individual is not part of an identified research cohort or study population, use the name of the brain bank or tissue repository.","ROS, MARS, MAP, Mt Sinai Brain Bank, Mayo Clinic, UFL, Banner, Goizueta ADRC, NY Brain Bank, Biggs Institute Brain Bank, other, missing or unknown",NA,NA,TRUE,DataProperty,NA,AD Metadata Dictionary (syn25878249),NA
sex,"Sex assigned at birth, or by sequencing","female, male, missing or unknown",NA,NA,TRUE,DataProperty,NA,NA,NA
race,Race,"American Indian or Alaska Native, Asian, Black or African American, Native Hawaiian or Other Pacific Islander, White, other, missing or unknown",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-demographics.race-0.0.2,NA
isHispanic,Boolean - is the individual Hispanic,"true - isHispanic, false - isHispanic, missing or unknown",NA,NA,TRUE,DataProperty,NA,https://docs.google.com/document/d/1vIxMZ8qJ7E7t8Pockbwy3vQ9sPT4k_GGlpQCsrpVoEY/edit#heading=h.agzpcnpjw4d9,NA
