Attribute,Description,Valid.Values,DependsOn,Properties,Required,Parent,DependsOn.Component,Source,Validation.Rules,columnType,module
study,Study,"3Dchromatin, ABC-DS, Abeta_microglia, ACOM, ACT, AD_ADRD_Exposome, ADAMTS7, ADAtlas_Archive, AD-BXD, ADMC_ADNI1, ADMC_ADNI2-GO, ADMC_ADNI_BakerLipidomics, ADMC_ADNI_Biocrates_MxP_Q500, ADMC_ADNI_NightingaleNMR, ADMC_ADNI_UHawaiiGutMetabolites, ADMC_UPenn, ADMCLongitudinalADNIMetabolon, Aging-PheWAS, AGMP_ANIMAL_MODELS, AGMP_ADRC, AGMP_BEAM, AGMP_TULSA_1000_LIBR, AMP-AD_DiverseCohorts, APOE4_Myelination, APOEPSC, APOE-TR, ATP6V1A_kd, Ast10_Communication, Banner, BCM-DMAS, BipSeq, BLSA, BPSD_AD_AnimalStudy_NU, BrainGVEX, BroadAstrom109, BroadiPSC, BroadMDMi, BU_ADRC_circPDE4B, CD74-IHC, CHDWB, CMC, CMC_HBCC, CMC-PEC, CNON, CUIMC2_Mult, CUMC_Compounds_Microglia, DAM Models_CU, DiCAD, diseasePseudotime, DivCo_HS, DukeAD_PTSD, ELPSCRNA, Emory_ADRC, Emory_Healthy_Brain_Study, Emory_Levey_300_CSF_FNIH, EmoryDrosophilaTau, EpiGABA, EpiMap, eQTLmetaAnalysis, FreshMicro, HBI_scRNAseq, HBTRC, HDAC1-cKOBrain, HumanFC, IL10_APPmouse, iNiAstshRNA, IntegrativePathwayAnalysis, iPSC, iPSCAstrocytes, iPSC-HiC, iPSCMicroglia, ISB_Taner_CollagenDomain, ISB_Taner_Cxcl10, ISB_Taner_PTN_MDK, ISB_Taner_sIL10r_sIL4r, ISB_Taner_TGFbeta, Jax.IU.Pitt_APOE4.Trem2.R47H, Jax.IU.Pitt_APP.PS1, Jax.IU.Pitt_B6.Klotho, Jax.IU.Pitt_Levetiracetam-5XFAD, Jax.IU.Pitt_LOAD2.PrimaryScreen, Jax.IU.Pitt_MicrobiomePilot, Jax.IU.Pitt_PrimaryScreen, Jax.IU.Pitt.Proteomics_Metabolomics_Pilot, Jax.IU.Pitt_StrainValidation, Jax.IU.Pitt_TREM2.HSSvsR47H, Jax.IU.Pitt_Verubecestat_5XFAD, LBP, LillyMicroglia, LLFS, lncRNA Pilot, MayoeGWAS, MayoHippocampus, MayoLOADGWAS, MayoPilotRNAseq, MayoRNAseq, mCITE-Seq, MC-BrAD, MC-CAA, MCMPS, MC_snRNA, MEF2_Resilience, MindPhenomeKB, miR155, MIT_ROSMAP_Multiomics, MOA-PAD, MODEL-AD_5XFAD, MODEL-AD_Abca7_APOE4_Trem2, MODEL-AD_APOE4_KI, MODEL-AD_APOE4_Trem2, MODEL-AD_Ceacam_KO_APOE4_Trem2, MODEL-AD_hAbeta_KI, MODEL-AD_Harmonization, MODEL-AD_hCR1_KI_on_APOE4_Trem2, MODEL-AD_hTau_Trem2, MODEL-AD_Il1rapKO_APOE4_Trem2_exon2KO, MODEL-AD_Mthfr_APOE4_Trem2, MODEL-AD_Rat_F344, MODEL-AD_Trem2_R47H, MouseHAL, MRGWAS, MSBB, MSBB_ArrayTissuePanel, MSDM, MSMM, MSSMiPSC, MSSM_PsychAD, mtDNA_AD, NAPS, NHP-Chimpanzee, NHP-Macaque, NPS_multiomics, OFMM, omicsADDS, Organoid_scRNAseq, Plxnb1_KO, RADEL, RNAseq_Harmonization, rnaSeqReprocessing, rnaSeqSampleSwap, ROSMAP, ROSMAP_bsSeq, ROSMAP_CellTypeSpecificHA, ROSMAP_CognitiveResilience, ROSMAP_GAGE-seq, ROSMAP-IA, ROSMAP-IN, ROSMAP_Lipidomics_Emory, ROSMAP_MammillaryBody, ROSMAP_nucleus_hashing, RR_APOE4, scRNAseq_microglia_wild_ADmice, SEA-AD, SMIB-AD, snRNAseqAD_TREM2, StJude_BannerSun, SUNYStrokeModel, SuperAgerEpiMap, SV_xQTL, SWS, SY5Y_Emory, SY5Y_REST, T Cell_AD, TASTPM, TAUAPPms, TauD35, Trisomy21iN, TS-RNAseq, TWAS, TyrobpKO, TyrobpKO_AppPs1, U1-70_PrimaryCellCulture, UAB_ADRC, UCI_3xTg-AD, UCI_ABCA7, UCI_Apoe-Ch, UCI_BIN1, UCI_CCLines, UCI_Microbiome, UCI_Multiomics, UCI_PrimaryScreen, UCI_StrainValidation, UCI_Trem2_Cuprizone, UCI_Trem2-R47H_NSS, UCLA-ASD, UCSF_MAC, UFLOR_ABI3_GNGT2, UPenn, VirusResilience_Banner, VirusResilience_iPSC, VirusResilience_LCL, VirusResilience_Mayo.MSBB.ROSMAP, VirusResilience_Organoids, VMC, WallOfTargets, WGBS Pilot, WGS_Harmonization, WHICAP_Immunoprofiling, Yale-ASD, Zhao_USF_Study",NA,NA,TRUE,ManifestColumn,NA,sage.annotations-neuro.study-0.0.57,NA,string,ADKP
3Dchromatin,The neuronal and glial 3D chromatin architecture study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21754060,NA,string,ADKP
ABC-DS,The Alzheimer's Biomarkers Consortium - Down Syndrome (ABC-DS) Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn38190930,NA,string,ADKP
Abeta_microglia,The differential transcriptomic responses of microglia to Ab peptide aggregates (Abeta_microglia) study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn24828089,NA,string,ADKP
ACOM,The apoE effects in iPSC-derived Alzheimer's disease cerebral organoid model study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21680862,NA,string,ADKP
ACT,Adult Changes in Thought,,NA,NA,NA,study,NA,hhttps://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn5759376,NA,string,ADKP
AD_ADRD_Exposome,The Exposome-wide associrm modules/ADKP/study_main_ref.csvation study of AD/ADRD across the UK Biobank and Framingham Heart Study cohorts (AD_ADRD_Exposome),,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26438246,NA,string,ADKP
ADAMTS7,The Characterization of gene associations with aging-related traits with a genetically-predicted transcriptome-wide association study (TWAS),,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26969078,NA,string,ADKP
ADAtlas_Archive,The Integrated Molecular Atlas of Alzheimer's Disease Archive (ADAtlas_Archive),,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn38188085,NA,string,ADKP
AD-BXD,The AD-BXD study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn17016211,NA,string,ADKP
ADMC_ADNI1,Metabolomics and lipidomics of the AD metabolome as well as imaging from ADNI,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5592519,NA,string,ADKP
ADMC_ADNI2-GO,"Clinical, imaging, genetic, and biochemical biomarker characteristics of the entire spectrum of Alzheimer's disease (AD)",,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn9705278,NA,string,ADKP
ADMC_ADNI_BakerLipidomics,The Alzheimer's Disease Metabolomics Consortium Alzheimer's Disease Neuroimaging Initiative Baker Heart Targeted Lipidomics (ADMC_ADNI_BakerLipidomics) Study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn24989039,NA,string,ADKP
ADMC_ADNI_Biocrates_MxP_Q500, The Alzheimer's Disease Metabolomics Consortium Longitudinal Alzheimer’s Disease Neuroimaging Initiative Q500 Biocrates Metabolites (ADMCLongitudinalADNIQ500Biocrates) Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn52047688,NA,string,ADKP
ADMC_ADNI_NightingaleNMR,The Alzheimer's Disease Metabolomics Consortium Alzheimer's Disease Neuroimaging Initiative Nightingale NMR (ADMC_ADNI_NightingaleNMR) Study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23557831,NA,string,ADKP
ADMC_ADNI_UHawaiiGutMetabolites,The Alzheimer's Disease Metabolomics Consortium Alzheimer's Disease Neuroimaging Initiative University of Hawaii Gut Metabolites (ADMC_ADNI_UHawaiiGutMetabolites) Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn31513378,NA,string,ADKP
ADMC_UPenn,Metabolomics on AD,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn9705311,NA,string,ADKP
ADMCLongitudinalADNIMetabolon,The Alzheimer's Disease Metabolomics Consortium Longitudinal Alzheimer’s Disease Neuroimaging Initiative Metabolon (ADMCLongitudinalADNIMetabolon) Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn70524711,NA,string,ADKP
Aging-PheWAS,Characterization of gene associations with aging-related traits with a genetically-predicted transcriptome-wide association study (TWAS),,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26720399,NA,string,ADKP
AGMP_ANIMAL_MODELS,The Mechanistic Studies in Animal Models Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn63660568,NA,string,ADKP
AGMP_ADRC,ADRC Study to Define a Role for the Gut Microbiome and Metabolome in Alzheimer’s Disease (AGMP_ADRC),,NA,NA,NA,study,NA,https://www.synapse.org/Synapse:syn64959226,NA,string,ADKP
AGMP_BEAM,Brain Energy for Amyloid transformation In Alzheimer's disease (AGMP_BEAM),,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn51104591,NA,string,ADKP
AGMP_TULSA_1000_LIBR,A naturalistic study protocol for multilevel assessment and outcome prediction in a large psychiatric sample (AGMP_TULSA_1000_LIBR),,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn53239117,NA,string,ADKP
AMP-AD_DiverseCohorts,The Accelerating Medicines Partnership Alzheimer's Disease Diverse Cohorts Study (AMP-AD_DiverseCohorts),,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn51732482,NA,string,ADKP
APOE4_Myelination,The APOE4 Myelination (APOE4_Myelination) Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn44424170,NA,string,ADKP
APOEPSC,The impact of APOE on aging-related conditions in human iPSC models (APOEPSC) study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25914209,NA,string,ADKP
APOE-TR,APOE Targeted Replacement,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn8391648,NA,string,ADKP
ATP6V1A_kd,The ATP6V1A knockdown in hIPSC neurons (ATP6V1A_kd) study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn52201354,NA,string,ADKP
Ast10_Communication,The Cell-cell Signaling Drives a Pathologic Astrocytic State Linked to Cognitive Decline in Alzheimer’s (Ast10_Communication) Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn64778720,NA,string,ADKP 
Banner,Banner Sun Health Research Institute's Brain and Body Donation Program,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7170616,NA,string,ADKP
BCM-DMAS,Baylor Drosophila Model Aging Study (BCM-DMAS),,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn34767207,NA,string,ADKP
BipSeq,RNA Sequencing of the limbic system in bipolar disorder,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5844980,NA,string,ADKP
BLSA,Baltimore Longitudinal Study on Aging,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3606086,NA,string,ADKP
BPSD_AD_AnimalStudy_NU,Molecular mechanisms underlying behavioral and psychological symptoms in Alzheimer's disease (BPSD_AD_AnimalStudy_NU),,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26234114,NA,string,ADKP
BrainGVEX,Genetic Variants effect on Brain Gene eXpression,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4590909,NA,string,ADKP
BroadAstrom109,Primary astrocytes and iPSC derived neurons,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7204912,NA,string,ADKP
BroadiPSC,iPSC derived forebrain neurons,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3607401,NA,string,ADKP
BroadMDMi,A novel human in vitro microglia-like model,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3607404,NA,string,ADKP
BU_ADRC_circPDE4B,BU ADRC circPDE4B Downregulation Associated with GEMIN5-Dependent Translational Stress and Autophagy in MAPT Pathology (BU_ADRC_circPDE4B),,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn74323578,NA,string,ADKP
CD74-IHC,"This study measures amyloid load and PHF Tau tangles in participants from the ROS and MAP cohorts using immunocytochemistry, image analysis, and stereology.",,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn64759724,NA,string,ADKP
CHDWB,"Clinical, metabolomic, and gene expression data of controls",,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn8272982,NA,string,ADKP
CMC,CommonMind Consortium,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn2759792/wiki/69613,NA,string,ADKP
CMC_HBCC,The CommonMind Consortium Human Brain Collection Core Cohort,,NA,NA,NA,study,NA,,NA,string,ADKP
CMC-PEC,Data from the CMC cohorts funded through PsychENCODE grants,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21961394,NA,string,ADKP
CNON,Cultured Neuronal cells derived from Olfactory Neuroepithelium,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4590897,NA,string,ADKP
CUIMC2_Mult,The CUIMC2 Multiome snRNA/snATAC (CUIMC2_Mult) Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn64769520,NA,string,ADKP
CUMC_Compounds_Microglia,The CUMC Study for Compounds Polarizing Human Microglial Subtypes,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn53124928,NA,string,ADKP
DAM Models_CU,The De Jager_CUMC_Development of a Human Disease-associated Microglia Model System Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn64332552,NA,string,ADKP
DiCAD,"Interdisciplinary Research to Understand the Interplay of Diabetes, Cerebrovascular disease and Alzheimer's disease",,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn9944859,NA,string,ADKP
diseasePseudotime,The diseasePseudotime study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22822673,NA,string,ADKP
DivCo_HS,The Diverse Cohorts Harmonization Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn68898203,NA,string,ADKP
DukeAD_PTSD,"The Duke Study of Shared Genetic, Epigenetic, and Transcriptomic Profiles Between AD and PTSD study",,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23585917,NA,string,ADKP
ELPSCRNA,Single cell transcriptomic analysis of PBMCs in Extreme Longevity,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26067509,NA,string,ADKP
Emory_ADRC,Emory Alzheimer's Disease Research Center,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3218563,NA,string,ADKP
Emory_Healthy_Brain_Study,Emory Healthy Brain Study,,,,,study,,https://www.synapse.org/#!Synapse:syn75102930,,string,ADKP
Emory_Levey_300_CSF_FNIH,AD CSF Proteome in 300 Emory Individuals and Longitudinally Paired MCI Drug Trial Participants,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn68293899,NA,string,ADKP
EmoryDrosophilaTau,Emory Drosophila Tau model,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7274101,NA,string,ADKP
EpiGABA,GABA Epigenomes in Autism,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4588488,NA,string,ADKP
EpiMap,Epigenetic Map in neuropsychiatric control tissue,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4566010,NA,string,ADKP
eQTLmetaAnalysis,The eQTL Meta-Analysis Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25398075,NA,string,ADKP
FreshMicro,The Fresh Microglia Regulome Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25671134,NA,string,ADKP
HBI_scRNAseq,The human brain immunity scRNAseq study (HBI_scRNAseq),,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn24168322,NA,string,ADKP
HBTRC,Harvard Brain Tissue Resource Center,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3159435,NA,string,ADKP
HDAC1-cKOBrain,HDAC1 expression in the brain,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5987310,NA,string,ADKP
HumanFC,Decoding schizophrenia-From GWAS to functional regulatory variants,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5321694,NA,string,ADKP
IL10_APPmouse,IL10 overexpression in APP mouse,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3157175,NA,string,ADKP
iNiAstshRNA,Targeting of LOAD candidate genes via shRNA in human neurons and astrocytes,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn52167912,NA,string,ADKP
IntegrativePathwayAnalysis,The Integrative Metabolomics-Genomics Pathway Analysis Study (IntegrativePathwayAnalysis),,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25474536,NA,string,ADKP
