Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
analysisType,Type of analysis,"ANOVA, assessment, batch effect correction, chromatin accessible quantitative trait loci detection, Clustering, comparison, Copy number estimation, correlation, covariate specification, data mining, data normalization, de-novo assembly, differential expression, differential methylation, differential network analysis, DNA methylation imputation, dose response study, Enrichment analysis, EWAS, expression quantitative trait loci detection, Gene expression comparison, Genome-Wide Association, genome-wide pleiotropy, genotypeAncestry, genotype imputation, hidden confounder detection, manifold learning, Mendelian randomization analysis, methylation quantitative trait loci detection, network analysis, network driver detection, outlier detection, peak calling, Polygenic Risk Scores, principal component analysis, protein quantitative trait loci detection, purity, quality control, search engine output files, Sequence alignment, somatic mutation calling, statistical network reconstruction, structural variation detection, Supervised Machine Learning, transcript quantification, variancePartition, Variant calling, visualization",,,False,DataProperty,,sage.annotations-analysis.analysisType-0.0.14,,string,analysis
ANOVA,ANOVA or analysis of variance is a data transformation in which a statistical test of whether the means of several groups are all equal.,,,,,analysisType,,http://purl.obolibrary.org/obo/OBI_0200201,,string,analysis
assessment,"The final result of a determination of the value, significance, or extent of.",,,,,analysisType,,http://purl.obolibrary.org/obo/NCIT_C25217,,string,analysis
batch effect correction,Adjustment of variable of interest for batch effects.,,,,,analysisType,,https://www.ncbi.nlm.nih.gov/pubmed/16632515,,string,analysis
chromatin accessible quantitative trait loci detection,Chromatin accessible quantitative trait locus analysis. Also abbreviated caQTL or chQTL.,,,,,analysisType,,https://www.cell.com/cell/pdf/S0092-8674(17)31253-9.pdf,,string,analysis
Clustering,Group together some data entities on the basis of similarities such that entities in the same group (cluster) are more similar to each other than to those in other groups (clusters).,,,,,analysisType,,http://edamontology.org/operation_3432,,string,analysis
comparison,The examination of two or more people or things in order to detect similarities and differences.,,,,,analysisType,,http://purl.obolibrary.org/obo/NCIT_C49156,,string,analysis
Copy number estimation,Estimate the number of copies of loci of particular gene(s) in DNA sequences typically from gene-expression profiling technology based on microarray hybridisation-based experiments.,,,,,analysisType,,http://edamontology.org/operation_3233,,string,analysis
correlation,"The degree to which two or more quantities or events are linearly associated, a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the others.",,,,,analysisType,,http://purl.obolibrary.org/obo/NCIT_C48834,,string,analysis
covariate specification,"A variable specification that specifies a variable used in statistical analysis to correct, adjust, or modify the values of a dependent variable; an independent variable not manipulated by the investigator",,,,,analysisType,,http://purl.obolibrary.org/obo/OBCS_0000040,,string,analysis
data mining,"Use of sophisticated analysis tools to sort through, organize, examine, and combine large sets of information",,,,,analysisType,,http://id.nlm.nih.gov/mesh/D057225,,string,analysis
data normalization,,,,,,analysisType,,https://www.ebi.ac.uk/ols/ontologies/swo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fswo%2Fobjective%2FSWO_7000015,,string,analysis
de-novo assembly,Assembly of reference sequence from short read sequences without external reference genome build.,,,,,analysisType,,http://purl.obolibrary.org/obo/GENEPIO_0001628,,string,analysis
differential expression,Genes or isoforms that are differentially expressed between two conditions.,,,,,analysisType,,http://uri.neuinfo.org/nif/nifstd/nlx_qual_100810,,string,analysis
differential methylation,Differences in methylation between a test sample and a normal comparison sample.,,,,,analysisType,,http://purl.obolibrary.org/obo/NCIT_C123883,,string,analysis
differential network analysis,Identification of changes in coexpression patterns between two conditions.,,,,,analysisType,,http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1000616,,string,analysis
DNA methylation imputation,The statistical inference of unobserved DNA methylation marks.,,,,,analysisType,,https://dx.doi.org/10.1534/genetics.115.185967,,string,analysis
dose response study,A study of the effect of dose changes on the efficacy of a drug in order to determine the dose-response relationship and optimal dose of a therapy.,,,,,analysisType,,http://purl.obolibrary.org/obo/NCIT_C127803,,string,analysis
Enrichment analysis,Over-representation analysis.,,,,,analysisType,,http://edamontology.org/operation_3501,,string,analysis
EWAS,epigenome-wide association study,,,,,analysisType,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508712/,,string,analysis
expression quantitative trait loci detection,A stretch of DNA at a particular chromosomal location that is able to regulate the expression of a specific mRNA or protein. Abbreviated eQTL.,,,,,analysisType,,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C113415,,string,analysis
Gene expression comparison,Comparison of gene expression profiles.,,,,,analysisType,,http://edamontology.org/operation_0315,,string,analysis
Genome-Wide Association,"An analysis comparing the allele frequencies of all available (or a whole GENOME representative set of) polymorphic markers in unrelated patients with a specific symptom or disease condition, and those of healthy controls to identify markers associated with a specific disease or condition.",,,,,analysisType,,http://purl.bioontology.org/ontology/MESH/D055106,,string,analysis
genome-wide pleiotropy,Analysis of genomic overlap between traits,,,,,analysisType,,https://doi.org/10.1098/rsob.170125,,string,analysis
