Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
cellType,A cell type is a distinct morphological or functional form of cell.,"A549, arachnoid, astrocytes, B-lymphocytes, CD138+, CD8+ T-Cells, CNON, dopaminergic neurons, Embryonic stem cells, epithelial, epithelial-like, fibroblast, GABAergic neurons, glia, GLUtamatergic neurons, immune cell, iPSC, iPSC-derived astrocytes, iPSC-derived glia, iPSC-derived neuron, iPSC-derived neuronal progenitor cell, iPSC-derived telencephalic organoids, lymphoblast, lymphoblastoid cell line, macrophages, meningioma, microglia, monocytes, monocyte-derived microglia, NCX NES, NeuN-, NeuN+, neural progenitor cell, neuron, oligodendrocyte, peripheral blood mononuclear cell, polygonal, round, schwann, Schwann cell precusor, schwannoma, SH-SY5Y",,,False,DataProperty,,sage.annotations-experimentalData.cellType-0.0.9,,string,biospecimen
A549,An adenocarcinoma cell line established by D.J. Giard in 1972 from lung carcinoma tissue removed from a 58-year-old Caucasian male.,,,,,cellType,,http://www.ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C117127,,string,biospecimen
arachnoid,An arachnoid mater is a delicate membrane that encloses the spinal cord and brain and lies between the pia mater and dura mater.,,,,,cellType,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001636,,string,biospecimen
astrocytes,"Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with end-feet which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier.",,,,,cellType,,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000127,,string,biospecimen
B-lymphocytes,A lymphocyte of B lineage with the phenotype CD19-positive and surface immunoglobulin-positive.,,,,,cellType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000236,,string,biospecimen
CD138+,,,,,,cellType,,Sage Bionetworks,,string,biospecimen
CD8+ T-Cells," Is a T lymphocyte (a type of white blood cell) that kills cancer cells, cells that are infected (particularly with viruses), or cells that are damaged in other ways.",,,,,cellType,,https://en.wikipedia.org/wiki/Cytotoxic_T_cell,,string,biospecimen
CNON,Cultured Neuronal cells derived from Olfactory Neuroepithelium,,,,,cellType,,https://www.synapse.org/#!Synapse:syn4590897,,string,biospecimen
dopaminergic neurons,A neuron that releases dopamine from its synapses.,,,,,cellType,,http://www.ontobee.org/ontology/BTO?iri=http://purl.obolibrary.org/obo/BTO_0004032,,string,biospecimen
Embryonic stem cells,Embryonic stem (ES) cells are cells derived from the inner cell mass of the early embryo that can be propagated indefinitely in the primitive undifferentiated state while remaining pluripotent.,,,,,cellType,,http://purl.obolibrary.org/obo/NCIT_C12935,,string,biospecimen
epithelial,Somatic cells that cover the surface of the body and line its cavities.,,,,,cellType,,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000066,,string,biospecimen
epithelial-like,"In cell morphology, epithelial-like cells are polygonal in shape with more regular dimensions, and grow attached to a substrate in discrete patches.",,,,,cellType,,https://www.thermofisher.com/us/en/home/references/gibco-cell-culture-basics/cell-morphology.html,,string,biospecimen
fibroblast,A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped.,,,,,cellType,,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000057,,string,biospecimen
