Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,"amygdala, amygdaloid complex, anterior cingulate cortex, angular gyrus, blood, bone marrow, Buccal Mucosa, Buffy Coat, caudate nucleus, cecum derived fecal material, cerebellar cortex, cerebellum, cerebral cortex, cortical plate, dorsal anterior cingulate cortex, dorsal pallium, Dorsal Root Ganglion, dorsolateral prefrontal cortex, dorsomedial prefrontal cortex, embryonic tissue, entorhinal cortex, fecal material, forebrain, frontal cortex, frontal lobe, frontal pole, fusiform gyrus, hippocampus, head of caudate nucleus, inferior frontal gyrus, inferior temporal cortex, inferior temporal gyrus, inferolateral temporal cortex, insula, insular cortex, left cerebral hemisphere, liver, mammillary body, medial dorsal nucleus of thalamus, medial frontal cortex, medial ganglionic eminence, medial orbital frontal cortex, medial prefrontal cortex, meninges, midbrain, middle frontal gyrus, middle temporal gyrus, nerve tissue, Not Applicable, nucleus accumbens, occipital lobe, occipital visual cortex, olfactory neuroepithelium, orbitofrontal cortex, parahippocampal gyrus, parietal cortex, parietal lobe, plasma, posterior cingulate cortex, posteroinferior parietal cortex, posterior inferior parietal cortex, posterior superior temporal cortex, precentral gyrus, prefrontal cortex, primary auditory cortex, primary motor cortex, primary somatosensory cortex, primary tumor, primary visual cortex, putamen, right cerebral hemisphere, serum, splenocyte, striatum, subgenual anterior cingulate cortex, subgenual cingulate cortex, superior parietal lobe, superior temporal gyrus, temporal cortex, temporal lobe, temporal pole, thalamus, unspecified, ventricular zone, ventrolateral prefrontal cortex, VZ/SVZ, whole brain",,,True,DataProperty,,sage.annotations-experimentalData.tissue-0.0.11,,string,biospecimen
amygdala,The one of the four basal ganglia in each cerebral hemisphere that is part of the limbic system and consists of an almond-shaped mass of gray matter in the anterior extremity of the temporal lobe.,,,,,tissue,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001042,,string,biospecimen
amygdaloid complex,,,,,,tissue,,Sage Bionetworks,,string,biospecimen
anterior cingulate cortex,That portion of the cingulate cortex which is located within the frontal lobe (the remainder being in the parietal lobe).,,,,,tissue,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0004249,,string,biospecimen
blood,A fluid that is composed of blood plasma and erythrocytes.,,,,,tissue,,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000178,,string,biospecimen
bone marrow,"The soft, fatty, vascular tissue that fills most bone cavities and is the source of red blood cells and many white blood cells.",,,,,tissue,,http://purl.obolibrary.org/obo/BTO_0000141,,string,biospecimen
Buccal Mucosa,"The mucosal membranes located on the inside of the cheek, in the buccal cavity.The inner lining of the cheeks.",,,,,tissue,,http://purl.obolibrary.org/obo/NCIT_C12505,,string,biospecimen
Buffy Coat,The middle layer of an anticoagulated blood specimen following separation by centrifugation. It contains most of the white blood cells and platelets.,,,,,tissue,,http://purl.obolibrary.org/obo/NCIT_C84507,,string,biospecimen
caudate nucleus,Subcortical nucleus of telecephalic origin consisting of an elongated gray mass lying lateral to and bordering the lateral ventricle.,,,,,tissue,,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001873,,string,biospecimen
cecum derived fecal material,Fecal material collected from the cecum,,,,,tissue,,Sage Bionetworks,,string,biospecimen
cerebellar cortex,"The superficial gray matter of the cerebellum. It consists of three layers, the stratum moleculare, stratum granulosum, and stratum purkinjense.",,,,,tissue,,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000043,,string,biospecimen
