Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
cohort,A study group population where the members are human beings who meet inclusion criteria.,"ABC-DS,ACT,ADNI,ADRC,Banner,BEAM,BEB-Miller,Biggs Institute Brain Bank,BLSA,CHDWB,CLINCOR,Columbia ADRC,DiCAD,EFIGA,EHBS,Emory ADRC,FBS,Framingham,HBCC,HBTRC,HPGP,HUP,LBP,MARS,MARS-WI,Mayo Clinic ADRC (Mayo ADRC),MC,MCJ,MCR,MIND,MSBB,NYBB,Pitt ADRC,POINTER,RADC,ROSMAP,SMRI,Tulsa LIBR-1000,UFL,UK Biobank,UPBB,UPenn,UW ADRC,WHICAP",,,False,ManifestColumn,,http://purl.obolibrary.org/obo/STATO_0000203,,string,clinical
ABC-DS,Alzheimer's Biomarkers Consortium - Down Syndrome,,,,False,cohort,,https://www.abcds.pitt.edu/,,string,clinical
ACT,Adult Changes in Thought - Kaiser Permanente Washington Health Research Institute,,,,False,cohort,,https://actagingresearch.org/about,,string,clinical
ADNI,Alzheimer's Disease Neuroimaging Initative,,,,False,cohort,,https://adni.loni.usc.edu/,,string,clinical
ADRC,Alzheimer Disease Research Centers,,,,False,cohort,,https://www.nia.nih.gov/health/clinical-trials-and-studies/alzheimers-disease-research-centers,,string,clinical
Banner,Banner Sun Health Research Institute's Brain and Body Donation Program.,,,,False,cohort,,https://www.bannerhealth.com/research/locations/sun-health-institute/programs/body-donation,,string,clinical
BEAM,Effect of a Modified Ketogenic-Mediterranean Diet on Alzheimer's Disease (BEAM Study),,,,False,cohort,,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(19)30554-7/fulltext,,string,clinical
BEB-Miller,University of Miami Miller School of Medicine Brain Endowment Bank,,,,False,cohort,,https://med.miami.edu/programs/brain-endowment-bank,,string,clinical
Biggs Institute Brain Bank,University of Texas Health San Antonio Biggs Institute Brain Bank,,,,False,cohort,,https://biggsinstitute.org/research/brain-donation/,,string,clinical
BLSA,NIA's Baltimore Longitudinal Study of Aging,,,,False,cohort,,https://www.blsa.nih.gov/,,string,clinical
CHDWB,Center for Health Discovery and Well Being cohort as part of the Emory University/Georgia Tech Predictive Health Institute,,,,False,cohort,,https://med.emory.edu/departments/medicine/research/centers-institutes/predictive-health/chd.html,,string,clinical
CLINCOR,"The Rush Alzheimer Disease Center Clinical Core study; a longitudinal, epidemiologic clinical-pathologic cohort study of the transition from normal aging to mild cognitive impairment (MCI) to the earliest stages of dementia",,,,False,cohort,,https://www.radc.rush.edu/docs/parentStudyDesigns.htm,,string,clinical
Columbia ADRC,Columbia University Alzheimer's Disease Research Center,,,,False,cohort,,https://www.neurology.columbia.edu/research/research-centers-and-programs/alzheimers-disease-research-center-adrc,,string,clinical
DiCAD,"Diabetes, Cerebrovascular Disease, and Alzheimer's Disease human cohort; longitudinal cohort of 200 late middle-aged community-dwelling hispanics from Northern Manhattan",,,,False,cohort,,,,string,clinical
EFIGA,Estudio Familiar de Influencia Genetica en Alzheimer (EFIGA) is a study based on a cohort of Caribbean Hispanics with Late-Onset Alzheimer’s Disease recruited from clinics in the Dominican Republic and New York.,,,,False,cohort,,https://www.neurology.columbia.edu/research/research-centers-and-programs/alzheimers-disease-research-center-adrc/investigators/investigator-resources,,string,clinical
EHBS,Emory Healthy Brain Study,,,,False,cohort,,https://healthyaging.emory.edu/ehbs/,,string,clinical
Emory ADRC,Emory Alzheimer's Disease Research Center Brain Bank,,,,False,cohort,,https://alzheimers.emory.edu/research/for-researchers/tissue_biospecimen_banking_facility.html,,string,clinical
FBS, THe National Institute on Aging Alzheimer's Disease Family Based Study (NIA-AD FBS),,,,False,cohort,,https://www.neurology.columbia.edu/research/research-centers-and-programs/national-institute-aging-alzheimers-disease-family-based-study-nia-ad-fbs,,string,clinical
Framingham,Framingham Heart Study,,,,False,cohort,,https://www.framinghamheartstudy.org/,,string,clinical
HBCC,The Human Brain Collection Core (HBCC) within the National Institute of Mental Health,,,,False,cohort,,https://www.nimh.nih.gov/research/research-conducted-at-nimh/research-areas/research-support-services/hbcc,,string,clinical
HBTRC,Harvard Brain Tissue Research Center,,,,False,cohort,,https://hbtrc.mclean.harvard.edu/,,string,clinical
HPGP,Harvard Personal Genome Project,,,,False,cohort,,https://pgp.med.harvard.edu/,,string,clinical
HUP,Hospital of the University of Pennsylvania autopsy service,,,,False,cohort,,https://pathology.med.upenn.edu/clinical-services/anatomic-pathology/medical-pathology,,string,clinical
LBP,Living Brain Project,,,,False,cohort,,https://labs.icahn.mssm.edu/minervalab/resources/data-ark/lbp/,,string,clinical
MARS,The Minority Aging Research Study,,,,False,cohort,,https://www.rushu.rush.edu/research/departmental-research/minority-aging-research-study,,string,clinical
MARS-WI,The MARS: Microbiome in Alzheimer’s Risk Study at the University of Wisconsin,,,,False,cohort,,https://www.adrc.wisc.edu/mars-study,,string,clinical
Mayo Clinic ADRC (Mayo ADRC),Mayo Clinic Brain Bank,,,,False,cohort,,https://www.mayo.edu/research/departments-divisions/department-neuroscience-florida/biorepositories/mayo-clinic-brain-bank,,string,clinical
MC,"Mayo Clinic (NOT brain bank, living)",,,,False,cohort,,https://www.mayo.edu/research/clinical-trials/cls-20308924#participating,,string,clinical
MCJ,Mayo Clinic Jacksonville,,,,False,cohort,,https://www.mayo.edu/research/florida,,string,clinical
MCR,Mayo Clinic Rochester,,,,False,cohort,,https://www.mayo.edu/research/minnesota,,string,clinical
MIND,MIND Trial to Prevent Alzheimer's,,,,False,cohort,,https://mind-diet-trial.org/,,string,clinical
MSBB,Mount Sinai/JJ Peters VA Medical Center Brain Bank,,,,False,cohort,,https://icahn.mssm.edu/research/nih-brain-tissue-repository,,string,clinical
NYBB,New York Brain Bank at Columbia University,,,,False,cohort,,http://www.columbianeuroresearch.org/taub/res-investigation.html,,string,clinical
Pitt ADRC,University of PIttsburgh Alzheimer's Disease Research Center,,,,False,cohort,,https://www.adrc.pitt.edu/,,string,clinical
POINTER,Protect Brain Health Through Lifestyle Intervention to Reduce Risk,,,,False,cohort,,https://www.alz.org/us-pointer/home.asp,,string,clinical
RADC,Rush Alzheimer's Disease Center,,,,False,cohort,,https://www.rushu.rush.edu/research/departmental-research/rush-alzheimers-disease-center,,string,clinical
ROSMAP,Religious Orders Study/Memory and Aging Project from Rush University ,,,,False,cohort,,"https://www.rushu.rush.edu/research/departmental-research/religious-orders-study, https://www.rushu.rush.edu/research/departmental-research/memory-and-aging-project",,string,clinical
SMRI,Stanley Medical Research Institute,,,,False,cohort,,https://www.stanleyresearch.org/,,string,clinical
Tulsa LIBR-1000, Tulsa Univ and Laureate Institute for Brain Research,,,,False,cohort,,https://utulsa.edu/news/libr-mental-health/,,string,clinical
UFL, University of Florida Neuromedicine Human Brain and Tissue Bank (UF HBTB),,,,False,cohort,,https://ctrnd.med.ufl.edu/research/brain-bank/,,string,clinical
UK Biobank,UK Biobank,,,,False,cohort,,https://www.ukbiobank.ac.uk/,,string,clinical
UPBB,University of Pennsylvania School of Medicine Brain Bank,,,,False,cohort,,https://www.med.upenn.edu/adrc/datasharing.html,,string,clinical
UPenn,"The University of Pennsylvania Alzheimer's Disease Core Center (ADCC), Penn Udall Center and the Center for Neurodegenerative Disease Research (CNDR)",,,,False,cohort,,"https://pathology.med.upenn.edu/research/centers-and-institutes/udall-center-for-parkinsons-research, https://www.med.upenn.edu/cndr/",,string,clinical
UW ADRC,University of Washington Alzheimer's Disease Research Center,,,,False,cohort,,http://depts.washington.edu/mbwc/adrc,,string,clinical
