Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
assayTarget,,"ARID1B, ARID3A, ARNT, ASCL1, ASH1L, ASH2L, ATF7, BCL11A, BHLHE40, BHLHE41, BMI1, BRCA1, BRD4, CC2D1A, CHD4, CLOCK, CREB1, CREM, CTCF, DEAF1, DPF2, EED, EGR1, EHMT2, E2F1, EWSR1, EZH2, FOXK2, FOXP1, GABPB1, GATA4, GATAD2A, GATAD2B, GMEB1, H3K27ac, H3K27me3, H3K36me3, H3K4me1, H3K4me3, H3K9ac, H3K9me2, H3K9me3, HCFC1, HNRNPK, IE_V1-V3, IgG, input, KAT2B, KDM4A, KLF16, KLF5, LaminB, MAZ, MEF2A, MEIS2, MITF, NCOA2, NCOR1, NEUROD1, NFIB, NFIC, NONO, NR2F1, NRF1, NR2F2, NR3C1, OLIG2, PKNOX1, Pol2, R-loops, RAD21, RB1, RELB, REST, SATB2, SIN3A, SIN3B, SIRT1, SIX4, SKIL, SMARCA5, SMC3, SON, SOX8, SP1, SP4, SRF, SREBP2, TAF1, TBR1, TCF12, TCF7L2, TDP43, TRIM28, YBX1, YBX3, YY1, ZBTB7B, ZEB1, ZEB2, ZFP91, ZHX1, ZKSCAN1, ZNF143, ZNF207, ZNF24, ZNF318, ZNF384, ZNF407, ZNF592, ZSCAN29",,,False,ManifestColumn,,sage.annotations-experimentalData.assayTarget-0.0.6,,string,demographics
ARID1B,,,,,,assayTarget,,,,string,demographics
ARID3A,,,,,,assayTarget,,,,string,demographics
ARNT,,,,,,assayTarget,,,,string,demographics
ASCL1,,,,,,assayTarget,,,,string,demographics
ASH1L,,,,,,assayTarget,,,,string,demographics
ASH2L,,,,,,assayTarget,,,,string,demographics
ATF7,,,,,,assayTarget,,,,string,demographics
BCL11A,,,,,,assayTarget,,,,string,demographics
BHLHE40,,,,,,assayTarget,,,,string,demographics
BHLHE41,,,,,,assayTarget,,,,string,demographics
BMI1,,,,,,assayTarget,,,,string,demographics
BRCA1,,,,,,assayTarget,,,,string,demographics
BRD4,,,,,,assayTarget,,,,string,demographics
CC2D1A,,,,,,assayTarget,,,,string,demographics
CHD4,,,,,,assayTarget,,,,string,demographics
CLOCK,,,,,,assayTarget,,,,string,demographics
CREB1,,,,,,assayTarget,,,,string,demographics
CREM,,,,,,assayTarget,,,,string,demographics
CTCF,,,,,,assayTarget,,,,string,demographics
DEAF1,,,,,,assayTarget,,,,string,demographics
DPF2,,,,,,assayTarget,,,,string,demographics
E2F1,,,,,,assayTarget,,,,string,demographics
EED,,,,,,assayTarget,,,,string,demographics
EGR1,,,,,,assayTarget,,,,string,demographics
EHMT2,,,,,,assayTarget,,,,string,demographics
EWSR1,,,,,,assayTarget,,,,string,demographics
EZH2,,,,,,assayTarget,,,,string,demographics
FOXK2,,,,,,assayTarget,,,,string,demographics
FOXP1,,,,,,assayTarget,,,,string,demographics
GABPB1,,,,,,assayTarget,,,,string,demographics
GATA4,,,,,,assayTarget,,,,string,demographics
GATAD2A,,,,,,assayTarget,,,,string,demographics
GATAD2B,,,,,,assayTarget,,,,string,demographics
GMEB1,,,,,,assayTarget,,,,string,demographics
H3K27ac,,,,,,assayTarget,,,,string,demographics
H3K27me3,,,,,,assayTarget,,,,string,demographics
H3K36me3,,,,,,assayTarget,,,,string,demographics
H3K4me1,,,,,,assayTarget,,,,string,demographics
H3K4me3,,,,,,assayTarget,,,,string,demographics
H3K9ac,,,,,,assayTarget,,,,string,demographics
H3K9me2,,,,,,assayTarget,,,,string,demographics
H3K9me3,,,,,,assayTarget,,,,string,demographics
HCFC1,,,,,,assayTarget,,,,string,demographics
HNRNPK,,,,,,assayTarget,,,,string,demographics
IE_V1-V3,A window covering the number one (V1) through three (V3) variable regions of the 16S rRNA gene,,,,,assayTarget,,https://doi.org/10.1038/nature11209,,string,demographics
IgG,An immunoglobulin isotype (subclass) that characterizes secondary immune responses.,,,,,assayTarget,,http://purl.obolibrary.org/obo/NCIT_C568,,string,demographics
input,,,,,,assayTarget,,,,string,demographics
KAT2B,,,,,,assayTarget,,,,string,demographics
KDM4A,,,,,,assayTarget,,,,string,demographics
KLF16,,,,,,assayTarget,,,,string,demographics
KLF5,,,,,,assayTarget,,,,string,demographics
LaminB,"A family of class V intermediate filaments that interact with nuclear membrane-associated proteins to form the nuclear lamina. This family of lamins has two members (Lamin-B1 and -B2), are present in all cells and play a role in the disintegration and reformation of the nuclear envelop during mitosis. [ NCI ]",,,,,assayTarget,,http://purl.obolibrary.org/obo/NCIT_C111790,,string,demographics
MAZ,,,,,,assayTarget,,,,string,demographics
MEF2A,,,,,,assayTarget,,,,string,demographics
MEIS2,,,,,,assayTarget,,,,string,demographics
MITF,,,,,,assayTarget,,,,string,demographics
NCOA2,,,,,,assayTarget,,,,string,demographics
NCOR1,,,,,,assayTarget,,,,string,demographics
NEUROD1,,,,,,assayTarget,,,,string,demographics
NFIB,,,,,,assayTarget,,,,string,demographics
NFIC,,,,,,assayTarget,,,,string,demographics
NONO,,,,,,assayTarget,,,,string,demographics
NR2F1,,,,,,assayTarget,,,,string,demographics
NR2F2,,,,,,assayTarget,,,,string,demographics
NR3C1,,,,,,assayTarget,,,,string,demographics
NRF1,,,,,,assayTarget,,,,string,demographics
OLIG2,,,,,,assayTarget,,,,string,demographics
PKNOX1,,,,,,assayTarget,,,,string,demographics
Pol2,,,,,,assayTarget,,,,string,demographics
R-loops,R-loops are three-stranded non-B DNA structures composed of an RNA-DNA hybrid and a single strand of DNA.,,,,,assayTarget,,https://pubmed.ncbi.nlm.nih.gov/31053798/,,string,demographics
RAD21,,,,,,assayTarget,,,,string,demographics
RB1,,,,,,assayTarget,,,,string,demographics
RELB,,,,,,assayTarget,,,,string,demographics
REST,,,,,,assayTarget,,,,string,demographics
SATB2,,,,,,assayTarget,,,,string,demographics
SIN3A,,,,,,assayTarget,,,,string,demographics
SIN3B,,,,,,assayTarget,,,,string,demographics
SIRT1,,,,,,assayTarget,,,,string,demographics
SIX4,,,,,,assayTarget,,,,string,demographics
SKIL,,,,,,assayTarget,,,,string,demographics
SMARCA5,,,,,,assayTarget,,,,string,demographics
SMC3,,,,,,assayTarget,,,,string,demographics
SON,,,,,,assayTarget,,http://purl.obolibrary.org/obo/OMIT_0035384,,string,demographics
SOX8,,,,,,assayTarget,,,,string,demographics
SP1,,,,,,assayTarget,,,,string,demographics
SP4,,,,,,assayTarget,,,,string,demographics
SREBP2,,,,,,assayTarget,,,,string,demographics
SRF,,,,,,assayTarget,,,,string,demographics
TAF1,,,,,,assayTarget,,,,string,demographics
TBR1,,,,,,assayTarget,,,,string,demographics
TCF12,,,,,,assayTarget,,,,string,demographics
TCF7L2,,,,,,assayTarget,,,,string,demographics
TDP43,,,,,,assayTarget,,,,string,demographics
TRIM28,,,,,,assayTarget,,,,string,demographics
YBX1,,,,,,assayTarget,,,,string,demographics
YBX3,,,,,,assayTarget,,,,string,demographics
YY1,,,,,,assayTarget,,,,string,demographics
ZBTB7B,,,,,,assayTarget,,,,string,demographics
ZEB1,,,,,,assayTarget,,,,string,demographics
ZEB2,,,,,,assayTarget,,,,string,demographics
ZFP91,,,,,,assayTarget,,,,string,demographics
ZHX1,,,,,,assayTarget,,,,string,demographics
ZKSCAN1,,,,,,assayTarget,,,,string,demographics
ZNF143,,,,,,assayTarget,,,,string,demographics
ZNF207,,,,,,assayTarget,,,,string,demographics
ZNF24,,,,,,assayTarget,,,,string,demographics
ZNF318,,,,,,assayTarget,,,,string,demographics
ZNF384,,,,,,assayTarget,,,,string,demographics
ZNF407,,,,,,assayTarget,,,,string,demographics
ZNF592,,,,,,assayTarget,,,,string,demographics
ZSCAN29,,,,,,assayTarget,,,,string,demographics
