Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
assay,The technology used to generate the data in this file,"10x multiome, 16SrRNAseq, active avoidance learning behavior, anxiety-related behavior, ATACSeq, atomicForceMicroscopy, autoradiography, Baker Lipidomics, Biocrates Bile Acids, Biocrates p180, Biocrates Q500, bisulfiteSeq, Blood Chemistry Measurement, brightfieldMicroscopy, cellViabilityAssay, ChIPSeq, CITESeq, contextual conditioning behavior, CUT&Tag, DIA, DNA optical mapping, electrochemiluminescence, elevated plus maze test, elevated T maze apparatus method, ELISA, errBisulfiteSeq, exomeSeq, FIA-MSMS, FitBark, frailty assessment, Genotyping, HI-C, HiChIPseq, high content screen, HPLC, HPLC-MSMS, Immunocytochemistry, immunofluorescence, immunohistochemistry, in vivo bioluminescence, ISOSeq, jumpingLibrary, kinesthetic behavior, label free mass spectrometry, Laser Speckle Imaging, LC-MS, LC-MSMS, LC-SRM, lentiMPRA, LFP, liquid chromatography-electrochemical detection, lncrnaSeq, locomotor activation behavior, long-read rnaSeq, LTP, MDMS-SL, memory behavior, Metabolon, methylationArray, MIB/MS, microRNAcounts, mirnaArray, mirnaSeq, MRI, mRNAcounts, MudPIT, m6A-rnaSeq, nextGenerationTargetedSequencing, Nightingale NMR, NOMe-Seq, novelty response behavior, open field test, oxBS-Seq, pharmacodynamics, pharmacokinetics, photograph, polymeraseChainReaction, Positron Emission Tomography, proximity extension assay, questionnaire, Rader Lipidomics, Real Time PCR, Ribo-Seq, rotarod performance test, rnaArray, rnaSeq, RPPA, sandwich ELISA, Sanger sequencing, scale, scATACSeq, scCGIseq, scirnaSeq, scrnaSeq, scwholeGenomeSeq, SiMoA, snpArray, snATACSeq, snrnaSeq, spontaneous alternation, STARRSeq, TMT quantitation, tractionForceMicroscopy, UPLC-MSMS, UPLC-ESI-QTOF-MS, UC Davis GCTOF, UCSD Untargeted Metabolomics, Vernier Caliper, von Frey test, westernBlot, wheel running, whole-cell patch clamp, wholeGenomeSeq, Wishart Catecholamines, Wishart High Value Metabolites, Zeno Electronic Walkway",,,True,DataProperty,,sage.annotations-experimentalData.assay-0.0.26,,string,experimentalData
10x multiome,Simultaneous profiling of gene expression and open chromatin from the same cell.,,,,,assay,,http://www.ebi.ac.uk/efo/EFO_0030059,,string,experimentalData
16SrRNAseq,An amplicon sequencing assay in which the amplicon is derived from universal primers used to amplify the 16S ribosomal RNA gene from isolate bacterial genomic DNA or metagenomic DNA from a microbioal community. Resulting sequences are compared to reference 16S sequence databases to identify or classify bacteria present within a given sample.,,,,,assay,,http://www.ontobee.org/ontology/OBI?iri=http://purl.obolibrary.org/obo/OBI_0002763,,string,experimentalData
active avoidance learning behavior,Avoidance learning when the action occurs.,,,,,assay,,http://purl.obolibrary.org/obo/NBO_0000217,,string,experimentalData
anxiety-related behavior,An emotional behavior related to a feeling of uneasiness or nervousness triggered by an identifiable triggering stimulus.,,,,,assay,,http://purl.obolibrary.org/obo/NBO_0000092,,string,experimentalData
ATACSeq,Open chromatin regions measured by sequencing DNA after assay for transposase-accessible chromatin (ATAC) treatment,,,,,assay,,http://purl.obolibrary.org/obo/OBI_0002039,,string,experimentalData
atomicForceMicroscopy,Microscopy which uses a sharp spike (known as a 'tip') mounted on the end of a cantilever to scan the surface of the specimen,,,,,assay,,http://purl.obolibrary.org/obo/CHMO_0000113,,string,experimentalData
autoradiography, A radioactivity detection technique using X- ray film to visualize molecules or fragments of molecules that have been radioactively labeled.,,,,,assay,,http://purl.obolibrary.org/obo/ERO_0000716,,string,experimentalData
Baker Lipidomics,A comparative lipidomics approach that enables semi-quantification of approximately 400 lipid species across 22 lipid classes and subclasses. The analysis is performed by liquid chromatography tandem mass spectrometry. Stable isotope dilution (with 23 different internal standards) is used to provide quantitative data on each of the over 400 lipid species.,,,,,assay,,https://baker.edu.au/research/contract-research/metabolomics,,string,experimentalData
Biocrates Bile Acids,"The Biocrates AbsoluteIDQ Bile Acids kit is a ready-to-use, standardized solution for the quantitation of 20 bile acids by liquid chromatography-mass spectrometry (LC-MS).",,,,,assay,,https://biocrates.com/biocrates-bile-acids-kit/,,string,experimentalData
