Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
dataType,Types of input/output data in bioinformatics pipelines,"Volume, Weight, Pharmacokinetic Study, genomicVariants, behavior process, metabolomics, image, geneExpression, isoformExpression, proteomics, kinomics, drugScreen, drugCombinationScreen, cellularPhysiology, chromatinActivity, surveyData, network, clinical, immunoassay, electrophysiology, metagenomics, epigenetics, pharmacology",,,False,DataProperty,,sage.annotations-experimentalData.dataType-0.0.3,,string,experimentalData
Volume,The amount of three dimensional space occupied by an object or the capacity of a space or container.,,,,,dataType,,http://purl.obolibrary.org/obo/NCIT_C25335,,string,experimentalData
Weight,The vertical force exerted by a mass as a result of gravity.,,,,,dataType,,http://purl.obolibrary.org/obo/NCIT_C25208,,string,experimentalData
Pharmacokinetic Study,"A study of the process by which a drug is absorbed, distributed, metabolized, and eliminated by the body.",,,,,dataType,,http://purl.obolibrary.org/obo/NCIT_C49663,,string,experimentalData
genomicVariants,"Genomic alterations, including single nucleotide polymorphisms, short indels and structural variants, in a genome sequence.",,,,,dataType,,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Foperation_3227,,string,experimentalData
behavior process,"The action, reaction, or performance of an organism in response to external or internal stimuli.",,,,,dataType,,http://purl.obolibrary.org/obo/NBO_0000313,,string,experimentalData
metabolomics,"The systematic study of metabolites, the chemical processes they are involved, and the chemical fingerprints of specific cellular processes in a whole cell, tissue, organ or organism.",,,,,dataType,,http://edamontology.org/topic_3172,,string,experimentalData
image,Biological or biomedical data that has been rendered into an image.,,,,,dataType,,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_2968,,string,experimentalData
geneExpression,The analysis of levels and patterns of synthesis of gene products (proteins and functional RNA) including interpretation in functional terms of gene expression data.,,,,,dataType,,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0203,,string,experimentalData
isoformExpression,Expression of protien isoforms formed from alternative splicings or other post-translational modifications of a single gene through RNA splicing mechanisms.,,,,,dataType,,https://en.wikipedia.org/wiki/Protein_isoform,,string,experimentalData
proteomics,"Protein and peptide identification, especially in the study of whole proteomes of organisms.",,,,,dataType,,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0121,,string,experimentalData
kinomics,Kinomics is the study of protein kinases and protein kinase signaling.,,,,,dataType,,http://www.kinomecore.com/what-is-kinomics/,,string,experimentalData
drugScreen,Information on drug sensitivity and molecular markers of drug response,,,,,dataType,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3531057/,,string,experimentalData
drugCombinationScreen,Information on drug sensitivity of more than one compound,,,,,dataType,,https://www.ncbi.nlm.nih.gov/pubmed/29344898,,string,experimentalData
cellularPhysiology,,,,,,dataType,,,,string,experimentalData
chromatinActivity,Chromatin activity that allow access of condensed genomic DNA and potentially control gene expression.,,,,,dataType,,https://en.wikipedia.org/wiki/Chromatin_remodeling,,string,experimentalData
surveyData,A data set that contains the outcome of a survey.,,,,,dataType,,http://purl.obolibrary.org/obo/OMIABIS_0000060,,string,experimentalData
network,An interconnected system of things or people.,,,,,dataType,,http://purl.obolibrary.org/obo/NCIT_C61377,,string,experimentalData
clinical,Data obtained through patient examination or treatment.,,,,,dataType,,http://purl.obolibrary.org/obo/NCIT_C15783,,string,experimentalData
immunoassay,Laboratory test involving interaction of antigens with specific antibodies.,,,,,dataType,,http://purl.obolibrary.org/obo/NCIT_C16723,,string,experimentalData
electrophysiology,Data generated from an electrophysiology assay.,,,,,dataType,,http://purl.obolibrary.org/obo/ERO_0000564,,string,experimentalData
metagenomics,A molecular assay that is used to analyze metagenomic data; genetic material recovered directly from environmental samples for genomic research.,,,,,dataType,,http://www.ontobee.org/ontology/ERO?iri=http://purl.obolibrary.org/obo/ERO_0000657,,string,experimentalData
epigenetics,"Topic concerning the study of heritable changes, for example in gene expression or phenotype, caused by mechanisms other than changes in the DNA sequence. This includes sub-topics such as histone modification and DNA methylation.",,,,,dataType,,http://bioportal.bioontology.org/ontologies/EDAM?p=classes&conceptid=topic_3295,,string,experimentalData
pharmacology," The study of pharmacologic agents. This includes the preparation, compounding, and dispensing of drugs, as well as the characteristics and properties of drugs, their effects on the body, and how they are metabolized and eliminated from the body.",,,,,dataType,,http://www.ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C16974,,string,experimentalData
