Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","7z, ab1, abf, avi, bai, bam, bash script, bcf, bed, bed broadPeak, bed gappedPeak, bed narrowPeak, bedgraph, bgzip, bigwig, bim, bpm, bsc, cel, chp, cram, csv, czi, dat, DICOM, doc, dup, excel, fam, fasta, fastq, fig, flagstat, gct, gff3, gtf, gzip, hdf, hic, html, hyperlink, idat, idx, jpg, json, locs, maf, mat, md, mov, mp4, msf, mtx, nirs, pdf, pdresult, pdstudy, pdview, plink, png, powerpoint, Python script, pzfx, R script, raw, RCC, RLF, RData, recal, rmd, saf, sam, sav, sdf, seg, Sentrix descriptor file, sf3, sif, sqlite, sra, svg, svs, Synapse Table, tab, tagAlign, tar, tbi, tif, tranches, tsv, txt, vcf, wiggle, xml, yaml, zip",,,True,ManifestColumn,,sage.annotations-sageCommunity.fileFormat-0.0.12,,string,file
7z,"A compressed archive file format that supports several different data compression, encryption and pre-processing filters.",,,,,fileFormat,,http://purl.obolibrary.org/obo/NCIT_C80224,,string,file
ab1,TAB1 binary format of raw DNA sequence reads (output of Applied Biosystems' sequencing analysis software). Contains an electropherogram and the DNA base sequence.,,,,,fileFormat,,http://edamontology.org/format_3000,,string,file
abf,The Axon(TM) Binary File format (ABF) was created for the storage of binary experimental data.,,,,,fileFormat,,https://mdc.custhelp.com/euf/assets/content/ABFHelp.pdf,,string,file
avi,AVI files can contain both audio and video data in a file container that allows synchronous audio-with-video playback.,,,,,fileFormat,,https://en.wikipedia.org/wiki/Audio_Video_Interleave,,string,file
bai,BAM indexing format,,,,,fileFormat,,http://edamontology.org/format_3327,,string,file
bam,"BAM format, the binary, BGZF-formatted compressed version of SAM format for alignment of nucleotide sequences (e.g. sequencing reads) to (a) reference sequence(s)",,,,,fileFormat,,http://edamontology.org/format_2572,,string,file
bash script,Bash Shell Script,,,,,fileFormat,,https://en.wikipedia.org/wiki/Shell_script,,string,file
bcf,"BCF, the binary version of Variant Call Format (VCF) for sequence variation (indels, polymorphisms, structural variation)",,,,,fileFormat,,http://edamontology.org/format_3016,,string,file
bed,"Browser Extensible Data (BED) format of sequence annotation track, typically to be displayed in a genome browser",,,,,fileFormat,,http://edamontology.org/format_3003,,string,file
bed broadPeak,"This format is used to provide called regions of signal enrichment based on pooled, normalized (interpreted) data. It is a BED 6+3 format.",,,,,fileFormat,,http://genome.ucsc.edu/FAQ/FAQformat.html#format13,,string,file
bed gappedPeak,"This format is used to provide called regions of signal enrichment based on pooled, normalized (interpreted) data where the regions may be spliced or incorporate gaps in the genomic sequence. It is a BED12+3 format.",,,,,fileFormat,,http://genome.ucsc.edu/FAQ/FAQformat.html#format14,,string,file
bed narrowPeak,"This format is used to provide called peaks of signal enrichment based on pooled, normalized (interpreted) data. It is a BED6+4 format.",,,,,fileFormat,,http://genome.ucsc.edu/FAQ/FAQformat.html#format12,,string,file
bedgraph,Holds a tab-delimited chromosome /start /end / datavalue dataset. The bedGraph format allows display of continuous-valued data in track format. This display type is useful for probability scores and transcriptome data,,,,,fileFormat,,http://edamontology.org/format_3583,,string,file
bgzip,Blocked GNU Zip format,,,,,fileFormat,,http://edamontology.org/format_3615,,string,file
bigwig,bigWig format for large sequence annotation tracks that consist of a value for each sequence position,,,,,fileFormat,,http://edamontology.org/format_3006,,string,file
bim,Extended variant information file accompanying a .bed binary genotype table.,,,,,fileFormat,,https://plink.readthedocs.io/en/latest/plink_fmt/#bim,,string,file
bpm,A beaded pool manifest. Describe the SNP or probe content on a BeadChip or in an assay pool.,,,,,fileFormat,,https://support.illumina.com/datafiles.html,,string,file
bsc,A project file generated from the Illumina GenomeStudio software suite.,,,,,fileFormat,,https://www.illumina.com/content/dam/illumina-support/documents/documentation/software_documentation/genomestudio/genomestudio-2011-1/genomestudio-gt-module-v1-0-user-guide-11319113-a.pdf,,string,file
cel,Format of Affymetrix data file of information about (raw) expression levels of the individual probes,,,,,fileFormat,,http://edamontology.org/format_1638,,string,file
chp,CHP file contains probe set analysis results generated from Affymetrix software,,,,,fileFormat,,,,string,file
cram,Reference-based compression of alignment format,,,,,fileFormat,,http://edamontology.org/format_3462,,string,file
csv,Tabular data represented as comma-separated values in a text file,,,,,fileFormat,,http://edamontology.org/format_3752,,string,file
czi,"microscopy imaging file format that saves multidimensional images such as time lapse, Z-stacks, multiposition experiments and virtual slides, combined with relevant meta information",,,,,fileFormat,,https://www.zeiss.com/microscopy/int/products/microscope-software/zen/czi.html,,string,file
dat,Format of Affymetrix data file of raw image data.,,,,,fileFormat,,http://edamontology.org/format_1637,,string,file
DICOM,"A comprehensive set of standards for communications between medical imaging devices, including handling, storing and transmitting information in medical imaging. It includes a file format definition and a network communication protocol.",,,,,fileFormat,,http://purl.obolibrary.org/obo/NCIT_C49059,,string,file
doc,Microsoft Word document format,,,,,fileFormat,,,,string,file
dup,output of the Picard MarkDuplicates tool.,,,,,fileFormat,,https://software.broadinstitute.org/gatk/documentation/tooldocs/4.0.4.0/picard_sam_markduplicates_MarkDuplicates.php,,string,file
excel,Microsoft Excel spreadsheet format,,,,,fileFormat,,,,string,file
fam,Sample information file accompanying a .bed binary genotype table.,,,,,fileFormat,,https://plink.readthedocs.io/en/latest/plink_fmt/#fam,,string,file
