Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
cohort,A study group population or group of indiviuals identified by a common characteristic.,"ABC-DS, ACT, ADNI, Banner, BEB-Miller, BLSA, CHDWB, CLINCOR, DiCAD, EHBS, Emory ADRC, Framingham, HBTRC, HPGP, HUP, LBP, MARS, MAYO, MC, MCJ, MCR, MSBB, NYBB, Pitt ADRC, RADC, ROSMAP, SMRI, UK Biobank, UPBB, UPenn, UW ADRC",,,,ManifestColumn,,http://purl.obolibrary.org/obo/NCIT_C61512,,string,individual
ABC-DS,Alzheimer's Biomarkers Consortium - Down Syndrome,,,,,cohort,,https://www.abcds.pitt.edu/,,string,individual
ACT,Adult Changes in Thought - Kaiser Permanente Washington Health Research Institute,,,,,cohort,,https://actagingresearch.org/about,,string,individual
ADNI,Alzheimer's Disease Neuroimaging Initative,,,,,cohort,,https://adni.loni.usc.edu/,,string,individual
Banner,Banner Sun Health Research Institute's Brain and Body Donation Program.,,,,,cohort,,https://www.bannerhealth.com/research/locations/sun-health-institute/programs/body-donation,,string,individual
BEB-Miller,University of Miami Miller School of Medicine Brain Endowment Bank,,,,,cohort,,https://med.miami.edu/programs/brain-endowment-bank,,string,individual
BLSA,NIA's Baltimore Longitudinal Study of Aging,,,,,cohort,,https://www.blsa.nih.gov/,,string,individual
CHDWB,Center for Health Discovery and Well Being cohort as part of the Emory University/Georgia Tech Predictive Health Institute,,,,,cohort,,https://med.emory.edu/departments/medicine/research/centers-institutes/predictive-health/chd.html,,string,individual
CLINCOR,"The Rush Alzheimer Disease Center Clinical Core study; a longitudinal, epidemiologic clinical-pathologic cohort study of the transition from normal aging to mild cognitive impairment (MCI) to the earliest stages of dementia",,,,,cohort,,https://www.radc.rush.edu/docs/parentStudyDesigns.htm,,string,individual
DiCAD,"Diabetes, Cerebrovascular Disease, and Alzheimer's Disease human cohort; longitudinal cohort of 200 late middle-aged community-dwelling hispanics from Northern Manhattan",,,,,cohort,,,,string,individual
EHBS,Emory Healthy Brain Study,,,,,cohort,,https://healthyaging.emory.edu/ehbs/,,string,individual
Emory ADRC,Emory Alzheimer's Disease Research Center Brain Bank,,,,,cohort,,https://alzheimers.emory.edu/research/for-researchers/tissue_biospecimen_banking_facility.html,,string,individual
Framingham,Framingham Heart Study,,,,,cohort,,https://www.framinghamheartstudy.org/,,string,individual
HBTRC,Harvard Brain Tissue Research Center,,,,,cohort,,https://hbtrc.mclean.harvard.edu/,,string,individual
HPGP,Harvard Personal Genome Project,,,,,cohort,,https://pgp.med.harvard.edu/,,string,individual
HUP,Hospital of the University of Pennsylvania autopsy service,,,,,cohort,,https://pathology.med.upenn.edu/clinical-services/anatomic-pathology/medical-pathology,,string,individual
LBP,Living Brain Project,,,,,cohort,,https://labs.icahn.mssm.edu/minervalab/resources/data-ark/lbp/,,string,individual
MARS,The Minority Aging Research Study,,,,,cohort,,https://www.rushu.rush.edu/research/departmental-research/minority-aging-research-study,,string,individual
MAYO,Mayo Clinic Brain Bank,,,,,cohort,,https://www.mayo.edu/research/departments-divisions/department-neuroscience-florida/biorepositories/mayo-clinic-brain-bank,,string,individual
MC,"Mayo Clinic (NOT brain bank, living)",,,,,cohort,,https://www.mayo.edu/research/clinical-trials/cls-20308924#participating,,string,individual
MCJ,Mayo Clinic Jacksonville,,,,,cohort,,https://www.mayo.edu/research/florida,,string,individual
MCR,Mayo Clinic Rochester,,,,,cohort,,https://www.mayo.edu/research/minnesota,,string,individual
MSBB,Mount Sinai/JJ Peters VA Medical Center Brain Bank,,,,,cohort,,https://icahn.mssm.edu/research/nih-brain-tissue-repository,,string,individual
NYBB,New York Brain Bank at Columbia University,,,,,cohort,,http://www.columbianeuroresearch.org/taub/res-investigation.html,,string,individual
Pitt ADRC,University of PIttsburgh Alzheimer's Disease Research Center,,,,,cohort,,https://www.adrc.pitt.edu/,,string,individual
RADC,Rush Alzheimer's Disease Center,,,,,cohort,,https://www.rushu.rush.edu/research/departmental-research/rush-alzheimers-disease-center,,string,individual
ROSMAP,Religious Orders Study/Memory and Aging Project from Rush University ,,,,,cohort,,"https://www.rushu.rush.edu/research/departmental-research/religious-orders-study, https://www.rushu.rush.edu/research/departmental-research/memory-and-aging-project",,string,individual
SMRI,Stanley Medical Research Institute,,,,,cohort,,https://www.stanleyresearch.org/,,string,individual
UK Biobank,UK Biobank,,,,,cohort,,https://www.ukbiobank.ac.uk/,,string,individual
UPBB,University of Pennsylvania School of Medicine Brain Bank,,,,,cohort,,https://www.med.upenn.edu/adrc/datasharing.html,,string,individual
UPenn,"The University of Pennsylvania Alzheimer's Disease Core Center (ADCC), Penn Udall Center and the Center for Neurodegenerative Disease Research (CNDR)",,,,,cohort,,"https://pathology.med.upenn.edu/research/centers-and-institutes/udall-center-for-parkinsons-research, https://www.med.upenn.edu/cndr/",,string,individual
UW ADRC,University of Washington Alzheimer's Disease Research Center,,,,,cohort,,http://depts.washington.edu/mbwc/adrc,,string,individual
