Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
individual_human_metadata_template,SysBio AD individual human metadata template schema,,"Component, individualID, individualIdSource, species, sex, race, ethnicity, yearsEducation, apoeGenotype, diagnosis, diagnosisCriteria, ageDeath, ageDeathUnits, causeDeath, mannerDeath, PMI, Braak, CERAD, brainWeight, pH",,False,DataType,,sysbio.metadataTemplates-ad.individual.human,,,template
file_annotation_template,AD file annotation template schema,,"Component, Filename, individualID, specimenID, isMultiSpecimen, assay, fileFormat, consortium, study, grant, resourceType, dataType, dataSubtype, metadataType, analysisType, isModelSystem, chromosome",,False,DataType,,sysbio.metadataTemplates-ad.manifest,,,template
biospecimen_metadata_template,SysBio AD biospecimen metadata template schema,,"Component, individualID, specimenID, specimenIdSource, organ, tissue, isPostMortem, BrodmannArea, nucleicAcidSource, cellType, samplingAge, samplingAgeUnits, sampleStatus, fastingState, visitNumber, assay",,False,DataType,,sysbio.metadataTemplates-ad.biospecimen,,,template
assay_scrnaSeq_metadata_template,SysBio scrnaSeq metadata template schema,,"Component, specimenID, libraryID, assay, platform, sampleBarcode, RIN, referenceSet, rnaBatch, libraryBatch, sequencingBatch, libraryPrep, libraryPreparationMethod, libraryVersion, libraryType, isStranded, readStrandOrigin, readLength, runType, totalReads, validBarcodeReads, numberCells, medianGenes, medianUMIs",,False,DataType,,sysbio.metadataTemplates-assay.scrnaSeq,,,template
assay_MRI_metadata_template,SysBio MRI metadata template schema,,"Component, individualID, scanID, platform, MRItype, fieldStrength, filename, contrastAgent, ageAssessment, ageAssessmentUnits",,False,DataType,,sysbio.metadataTemplates-assay.MRI,,,template
assay_STARRSeq_metadata_template,SysBio STARRSeq metadata template schema,,"Component, specimenID, libraryID, assay, platform, RIN, dnaBatch, referenceSet, rnaBatch, libraryBatch, sequencingBatch, libraryPrep, libraryPreparationMethod, libraryVersion, isStranded, readStrandOrigin, readLength, runType, totalReads, validBarcodeReads, numberCells, medianGenes, medianUMIs, ratio260over280, ratio260over230, GQN",,False,DataType,,sysbio.metadataTemplates-assay.STARRSeq,,,template
assay_PET_metadata_template,SysBio PET metadata template schema,,"Component, individualID, scanID, ligand, filename, platform, ageAssessment, ageAssessmentUnits",,False,DataType,,sysbio.metadataTemplates-assay.PET,,,template
assay_nanostring_metadata_template,SysBio nanostring metadata template schema,,"Component, specimenID, assay, platform, RIN, rnaBatch, libraryBatch, nanostringBatch, libraryPrep, libraryPreparationMethod, geneRLF, bindingDensity",,False,DataType,,sysbio.metadataTemplates-assay.nanostring,,,template
assay_snpArray_metadata_template,SysBio snpArray metadata template schema,,"Component, specimenID, assay, platform, dnaBatch, arrayBatch, ratio260over280, ratio260over230, GQN",,False,DataType,,sysbio.metadataTemplates-assay.snpArray,,,template
assay_rnaSeq_metadata_template,SysBio rnaSeq metadata template schema,,"Component, specimenID, libraryID, assay, platform, RIN, referenceSet, rnaBatch, libraryBatch, sequencingBatch, libraryPrep, libraryPreparationMethod, libraryVersion, isStranded, readStrandOrigin, readLength, runType, totalReads, validBarcodeReads, DV200",,False,DataType,,sysbio.metadataTemplates-assay.rnaSeq,,,template
biospecimen_drosophila_metadata_template,SysBio drosophila biospecimen metadata template schema,,"Component, specimenID, bodyPart, tissueWeight, nucleicAcidSource, genotype, ageDays, nIndividuals, nMale, nFemale, temperature",,False,DataType,,sysbio.metadataTemplates-biospecimen.drosophila,,,template
assay_TMTquantitation_metadata_template,SysBio TMTquantitation (aka proteomics) metadata template schema,,"Component, specimenID, assay, platform, controlType, batch, batchChannel, TMTType, fragmentation, resolution, multiconsensusStudyFileID",,False,DataType,,sysbio.metadataTemplates-assay.TMTquantitation,,,template
assay_bisulfiteSeq_metadata_template,SysBio bisulfiteSeq (aka WGBS) metadata template schema,,"Component, specimenID, libraryID, assay, platform, referenceSet, dnaBatch, libraryBatch, sequencingBatch, libraryPrep, libraryPreparationMethod, isStranded, readStrandOrigin, readLength, runType, totalReads, directionalBSseqLibrary, gDNAconc, lambdaDNAconc, pcrCycles, meanCoverage",,False,DataType,,sysbio.metadataTemplates-assay.bisulfiteSeq,,,template
assay_autorad_metadata_template,SysBio autoradiography metadata template schema,,"Component, individualID, scanID, filename, platform, ageAssessment, ageAssessmentUnits",,False,DataType,,sysbio.metadataTemplates-assay.autorad,,,template
individual_animal_metadata_template,SysBio individual animal metadata template schema,,"Component, individualID, individualIdSource, species, sexChromosome, dateBirth, dateDeath, sex, genotype, genotypeBackground, room, litter, matingID, treatmentDose, modelSystemName",,False,DataType,,sysbio.metadataTemplates-individual.animal,,,template
assay_wholeExomeSeq_metadata_template,SysBio wholeExomeSeq metadata template schema,,"Component, specimenID, libraryID, assay, platform, referenceSet, dnaBatch, sequencingBatch, libraryPrep, libraryPreparationMethod, readLength, runType, totalReads, ratio260over280, ratio260over230, GQN",,False,DataType,,sysbio.metadataTemplates-assay.wholeExomeSeq,,,template
assay_wholeGenomeSeq_metadata_template,SysBio wholeGenomeSeq (aka WGS) metadata template schema,,"Component, specimenID, libraryID, assay, platform, referenceSet, dnaBatch, sequencingBatch, libraryPrep, libraryPreparationMethod, readLength, runType, totalReads, numberCells, ratio260over280, ratio260over230, GQN",,False,DataType,,sysbio.metadataTemplates-assay.wholeGenomeSeq,,,template
assay_16SrRNAseq_metadata_template,SysBio 16SrRNAseq metadata template schema,,"Component, specimenID, assay, platform, dnaBatch, dnaExtractionMethod, libraryBatch, sequencingBatch, libraryPrep, readLength, runType, assayTarget",,False,DataType,,sysbio.metadataTemplates-assay.sixteenSrRNAseq,,,template
